state,year,office,election_type,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2012,all,Primary,,,,,http://vote.sos.state.oh.us/pls/enrpublic/wwv_flow.show?p_flow_id=130&p_flow_step_id=0&p_request=APPLICATION_PROCESS=rss_feed,rss,x,x,,,FALSE
OH,2012,U.S. House,Primary,,REP,CD8,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:5DE57770F3114AD0AEE55672977B002E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD9,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:040E182DC1A8458395EE24119D47E23A,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD9,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:EBA214FBE4F140D0B150FAE94FEA7A33,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD9,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:7EB29924ABC24BCDBD2114FB6BBF0A74,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD10,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:FF5BCBC0E27A40788AC26FBA46471CAA,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD10,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:9E4B5A43DF904DD49387742E90A9AE9F,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD10,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:87AD569A73AF49D5A062C8701658D1B9,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD11,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:3494C4C2DBEF417D92688901F5ADD7B7,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD12,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:6EDAE3B5ECC3459485F98CACE3E2E406,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD12,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:57295E69F17E46029A00750A3852A091,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD13,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:E6F6D67D2463439FAC171D3C415A5D3C,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD13,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:CC282D94C6B242358218DBF9E38EAF1E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD14,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:CC282D94C6B242358218DBF9E38EAF1E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,GRE,CD14,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:B4B3E123F72F49A98BEEBFE7B986BD4B,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD14,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:3BBF9E507E2540D398BA263EC6B446CF,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD14,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:8BB5AD602DF240E1A93D28847D20335A,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD15,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:8194E0CC1D224C38B8E2ABA7D0921D29,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD15,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:CDD1A35E189F4AEEBA41A6424B3FC0FA,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD16,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:179D9EF239DB466CA7D46B92D3283EE4,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD16,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:C560803048174C3AADCEC663926BAE3C,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD16,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:C35F5586B5E147A3897B7226D5935717,,html|csv,x,x,x,x,FALSE
